         Estimate  Std. Error  t-value  Pr(>|t|)    
9372   0.13693052  0.02760184   4.9609 7.016e-07 ***
9373   0.08173115  0.02764782   2.9562 0.0031150 ** 
9374   0.07533935  0.02760995   2.7287 0.0063584 ** 
9375   0.09120560  0.02757051   3.3081 0.0009394 ***
9376   0.07756055  0.02757851   2.8124 0.0049180 ** 
9377   0.13641953  0.02769230   4.9263 8.382e-07 ***
9461   0.05341608  0.03040821   1.7566 0.0789803 .  
9462   0.09058557  0.02759846   3.2823 0.0010298 ** 
9463   0.09052857  0.02757046   3.2835 0.0010251 ** 
9464   0.06674705  0.02766087   2.4130 0.0158197 *  
9471   0.05223451  0.02758572   1.8935 0.0582869 .  
9472   0.07846518  0.02762852   2.8400 0.0045113 ** 
9473   0.06281096  0.02758838   2.2767 0.0228031 *  
9474   0.08791268  0.02759009   3.1864 0.0014406 ** 
9475   0.07071215  0.02768246   2.5544 0.0106370 *  
9476  -0.00752538  0.02761734  -0.2725 0.7852472    
9477   0.16082047  0.02760452   5.8259 5.681e-09 ***
9478   0.08047528  0.02761291   2.9144 0.0035636 ** 
9479   0.05519706  0.02771914   1.9913 0.0464482 *  
9561   0.15092872  0.02760170   5.4681 4.549e-08 ***
9562   0.02058145  0.02758666   0.7461 0.4556280    
9563   0.02312148  0.02759061   0.8380 0.4020195    
9564   0.05519613  0.02757076   2.0020 0.0452868 *  
9565   0.07777673  0.02758483   2.8195 0.0048092 ** 
9571   0.10092769  0.02757514   3.6601 0.0002521 ***
9572   0.01583635  0.02762589   0.5732 0.5664800    
9573   0.01696901  0.02761318   0.6145 0.5388681    
9574   0.06813585  0.02762267   2.4667 0.0136378 *  
9575   0.07681364  0.02760748   2.7823 0.0053967 ** 
9576   0.08901559  0.02761459   3.2235 0.0012663 ** 
9577   0.12676404  0.02761279   4.5908 4.416e-06 ***
9661   0.10013967  0.02764654   3.6221 0.0002922 ***
9662   0.03122981  0.02757020   1.1327 0.2573243    
9663   0.16050817  0.02761406   5.8126 6.153e-09 ***
9671   0.10042528  0.02758146   3.6410 0.0002715 ***
9672   0.01515182  0.02756689   0.5496 0.5825675    
9673   0.05645592  0.02758815   2.0464 0.0407187 *  
9674   0.05501522  0.02760305   1.9931 0.0462522 *  
9675   0.05030136  0.02757883   1.8239 0.0681654 .  
9676   0.07804078  0.02758147   2.8295 0.0046626 ** 
9677   0.07936555  0.02757740   2.8779 0.0040031 ** 
9678   0.07633607  0.02757260   2.7685 0.0056307 ** 
9679   0.17357321  0.02759043   6.2911 3.153e-10 ***
9761   0.18311142  0.02761542   6.6308 3.339e-11 ***
9762   0.16265327  0.02761093   5.8909 3.841e-09 ***
9764   0.15313138  0.02758313   5.5516 2.830e-08 ***
9771   0.14185679  0.02761269   5.1374 2.786e-07 ***
9772   0.15991041  0.02762497   5.7886 7.097e-09 ***
9773   0.16636941  0.02762353   6.0227 1.715e-09 ***
9774   0.18081570  0.02757571   6.5571 5.488e-11 ***
9775   0.16403945  0.02756282   5.9515 2.657e-09 ***
9777   0.14694504  0.02758503   5.3270 9.986e-08 ***
9778   0.15414448  0.02758060   5.5889 2.285e-08 ***
9779   0.13010176  0.02760627   4.7128 2.444e-06 ***
10041 -0.00561944  0.02760495  -0.2036 0.8386924    
10042  0.01874437  0.02756940   0.6799 0.4965692    
10043 -0.01108172  0.02757909  -0.4018 0.6878193    
10044  0.00126661  0.02759041   0.0459 0.9633840    
10045 -0.05113863  0.02760033  -1.8528 0.0639072 .  
