         Estimate  Std. Error  t-value  Pr(>|t|)    
9186   0.14196483  0.02663651   5.3297 9.837e-08 ***
9187   0.21622084  0.02685474   8.0515 8.882e-16 ***
9188   0.08822419  0.02681559   3.2900 0.0010018 ** 
9189   0.15206857  0.02679913   5.6744 1.392e-08 ***
9190   0.21788287  0.02692763   8.0914 6.661e-16 ***
9261   0.17623013  0.02662894   6.6180 3.641e-11 ***
9262   0.15565983  0.02672964   5.8235 5.763e-09 ***
9263   0.20478533  0.02664042   7.6870 1.510e-14 ***
9271   0.18202667  0.02668419   6.8215 9.008e-12 ***
9272   0.07602128  0.02674024   2.8430 0.0044697 ** 
9273   0.14989248  0.02665621   5.6232 1.875e-08 ***
9274   0.18197617  0.02662717   6.8342 8.245e-12 ***
9275   0.15903848  0.02667716   5.9616 2.498e-09 ***
9276   0.05425279  0.02669013   2.0327 0.0420838 *  
9277   0.19823061  0.02668650   7.4281 1.101e-13 ***
9278   0.13932305  0.02663562   5.2307 1.689e-07 ***
9279   0.17129844  0.02665209   6.4272 1.300e-10 ***
9361   0.11763499  0.02667236   4.4104 1.032e-05 ***
9362   0.15845149  0.02669960   5.9346 2.946e-09 ***
9363   0.10393887  0.02664554   3.9008 9.588e-05 ***
9371   0.12739319  0.02664798   4.7806 1.748e-06 ***
9372   0.14005311  0.02663652   5.2579 1.457e-07 ***
9373   0.10216824  0.02667317   3.8304 0.0001279 ***
9374   0.07516336  0.02665556   2.8198 0.0048054 ** 
9375   0.11368177  0.02663869   4.2675 1.976e-05 ***
9376   0.08979908  0.02664233   3.3705 0.0007502 ***
9377   0.12466892  0.02673276   4.6635 3.108e-06 ***
9461   0.07874678  0.02939712   2.6787 0.0073903 ** 
9462   0.10252606  0.02665303   3.8467 0.0001197 ***
9463   0.09738598  0.02665333   3.6538 0.0002584 ***
9464   0.06184832  0.02680108   2.3077 0.0210169 *  
9471   0.06566453  0.02665887   2.4631 0.0137726 *  
9472   0.08443322  0.02666659   3.1663 0.0015442 ** 
9473   0.06982694  0.02666599   2.6186 0.0088298 ** 
9474   0.10556064  0.02666821   3.9583 7.549e-05 ***
9475   0.06663987  0.02681743   2.4849 0.0129571 *  
9476  -0.00880567  0.02672302  -0.3295 0.7417655    
9477   0.16627641  0.02668650   6.2307 4.643e-10 ***
9478   0.09317089  0.02668052   3.4921 0.0004792 ***
9479   0.05506263  0.02680056   2.0545 0.0399241 *  
9561   0.15310581  0.02666059   5.7428 9.314e-09 ***
9562   0.03661922  0.02669912   1.3716 0.1702031    
9563   0.04338723  0.02669496   1.6253 0.1040994    
9564   0.07765070  0.02668567   2.9098 0.0036163 ** 
9565   0.09179027  0.02669477   3.4385 0.0005849 ***
9571   0.10745265  0.02665042   4.0319 5.532e-05 ***
9572   0.02916220  0.02668052   1.0930 0.2743874    
9573   0.03204032  0.02669035   1.2004 0.2299663    
9574   0.08482031  0.02668323   3.1788 0.0014789 ** 
9575   0.08797323  0.02666859   3.2988 0.0009711 ***
9576   0.09469718  0.02665783   3.5523 0.0003818 ***
9577   0.14109018  0.02665977   5.2923 1.208e-07 ***
9661   0.11198057  0.02669708   4.1945 2.735e-05 ***
9662   0.04683115  0.02671527   1.7530 0.0796066 .  
9663   0.19326551  0.02671839   7.2334 4.710e-13 ***
9671   0.10979566  0.02666377   4.1178 3.825e-05 ***
9672   0.02898545  0.02666409   1.0871 0.2770105    
9673   0.06458186  0.02664496   2.4238 0.0153594 *  
9674   0.06935140  0.02668564   2.5988 0.0093543 ** 
9675   0.07248406  0.02671490   2.7132 0.0066628 ** 
9676   0.08891576  0.02664397   3.3372 0.0008463 ***
9677   0.09999575  0.02667182   3.7491 0.0001775 ***
9678   0.09633582  0.02669281   3.6091 0.0003073 ***
9679   0.19528147  0.02667797   7.3200 2.480e-13 ***
9761   0.20934425  0.02669060   7.8434 4.441e-15 ***
9762   0.20167492  0.02684976   7.5112 5.862e-14 ***
9764   0.18461050  0.02673074   6.9063 4.975e-12 ***
9771   0.16682519  0.02666567   6.2562 3.945e-10 ***
9772   0.19188308  0.02666885   7.1950 6.244e-13 ***
9773   0.17991397  0.02666000   6.7485 1.494e-11 ***
9774   0.20395492  0.02665434   7.6518 1.976e-14 ***
9775   0.18773571  0.02669226   7.0333 2.016e-12 ***
9777   0.18878073  0.02678410   7.0482 1.812e-12 ***
9778   0.18348702  0.02671821   6.8675 6.534e-12 ***
9779   0.14887929  0.02663596   5.5894 2.278e-08 ***
10041  0.01716720  0.02661703   0.6450 0.5189463    
10042  0.03950154  0.02663613   1.4830 0.1380728    
10043  0.00345770  0.02662338   0.1299 0.8966658    
10044  0.01914723  0.02661591   0.7194 0.4719002    
10045 -0.02928148  0.02662486  -1.0998 0.2714281    
10046 -0.01406817  0.02666271  -0.5276 0.5977529    
12053 -0.20386093  0.02755776  -7.3976 1.388e-13 ***
12060 -0.38413752  0.02669256 -14.3912 < 2.2e-16 ***
12061 -0.36695315  0.02674920 -13.7183 < 2.2e-16 ***
12062 -0.33411385  0.02672759 -12.5007 < 2.2e-16 ***
12063 -0.28980038  0.02674960 -10.8338 < 2.2e-16 ***
12064 -0.25391786  0.02672731  -9.5003 < 2.2e-16 ***
12065 -0.32680702  0.02670425 -12.2380 < 2.2e-16 ***
12066 -0.26584092  0.02674445  -9.9400 < 2.2e-16 ***
12067 -0.39013964  0.02673900 -14.5907 < 2.2e-16 ***
12068 -0.26365190  0.02675925  -9.8527 < 2.2e-16 ***
12069 -0.32632638  0.02669842 -12.2227 < 2.2e-16 ***
