         Estimate  Std. Error  t-value  Pr(>|t|)    
9574   0.08004611  0.02689374   2.9764 0.0029167 ** 
9575   0.08082636  0.02686221   3.0089 0.0026217 ** 
9576   0.08742530  0.02684529   3.2566 0.0011274 ** 
9577   0.13506964  0.02684912   5.0307 4.887e-07 ***
9661   0.10647023  0.02685859   3.9641 7.367e-05 ***
9662   0.04323862  0.02690493   1.6071 0.1080348    
9663   0.19075411  0.02690984   7.0886 1.354e-12 ***
9671   0.10718742  0.02684504   3.9928 6.529e-05 ***
9672   0.02298622  0.02686479   0.8556 0.3922045    
9673   0.05824448  0.02686246   2.1682 0.0301398 *  
9674   0.06322068  0.02688385   2.3516 0.0186917 *  
9675   0.06642066  0.02690045   2.4691 0.0135443 *  
9676   0.08338439  0.02682743   3.1082 0.0018825 ** 
9677   0.09128571  0.02685726   3.3989 0.0006765 ***
9678   0.09073721  0.02688488   3.3750 0.0007381 ***
9679   0.19064283  0.02686502   7.0963 1.281e-12 ***
9761   0.20138672  0.02685599   7.4988 6.439e-14 ***
9762   0.19974646  0.02710891   7.3683 1.728e-13 ***
9764   0.17973282  0.02694197   6.6711 2.539e-11 ***
9771   0.16022213  0.02683826   5.9699 2.374e-09 ***
9772   0.18554850  0.02684166   6.9127 4.755e-12 ***
9773   0.17043838  0.02683111   6.3523 2.122e-10 ***
9774   0.19637007  0.02683260   7.3183 2.511e-13 ***
9775   0.18218599  0.02687460   6.7791 1.209e-11 ***
9777   0.18590317  0.02698626   6.8888 5.626e-12 ***
9778   0.17847970  0.02691612   6.6310 3.335e-11 ***
9779   0.14246423  0.02682421   5.3110 1.090e-07 ***
10041  0.01658085  0.02680406   0.6186 0.5361833    
10042  0.03749987  0.02681539   1.3984 0.1619792    
10043  0.00215877  0.02681120   0.0805 0.9358258    
10044  0.01980671  0.02680473   0.7389 0.4599520    
10045 -0.03208747  0.02681125  -1.1968 0.2313880    
10046 -0.01812896  0.02682151  -0.6759 0.4990970    
12053 -0.20275562  0.02773545  -7.3103 2.665e-13 ***
12060 -0.38389763  0.02685326 -14.2961 < 2.2e-16 ***
12061 -0.36625829  0.02692039 -13.6052 < 2.2e-16 ***
12062 -0.33421363  0.02690992 -12.4197 < 2.2e-16 ***
12063 -0.29075399  0.02691493 -10.8027 < 2.2e-16 ***
12064 -0.25320921  0.02688619  -9.4178 < 2.2e-16 ***
12065 -0.32880869  0.02686407 -12.2397 < 2.2e-16 ***
12066 -0.26461531  0.02691324  -9.8322 < 2.2e-16 ***
12067 -0.38873979  0.02691406 -14.4437 < 2.2e-16 ***
12068 -0.26656132  0.02690582  -9.9072 < 2.2e-16 ***
12069 -0.32724184  0.02687423 -12.1768 < 2.2e-16 ***
12070 -0.26425148  0.02683521  -9.8472 < 2.2e-16 ***
12071 -0.35918594  0.02692120 -13.3421 < 2.2e-16 ***
12072 -0.34370636  0.02692899 -12.7634 < 2.2e-16 ***
12073 -0.24647139  0.02690970  -9.1592 < 2.2e-16 ***
13051 -0.17149436  0.03196407  -5.3652 8.085e-08 ***
13052 -0.09571874  0.03191439  -2.9992 0.0027066 ** 
13053 -0.22141772  0.03191965  -6.9367 4.013e-12 ***
13054 -0.26563779  0.03192575  -8.3205 < 2.2e-16 ***
13055 -0.22966763  0.03195089  -7.1881 6.568e-13 ***
13056 -0.28963063  0.03189596  -9.0805 < 2.2e-16 ***
13057 -0.14702673  0.03190172  -4.6087 4.051e-06 ***
13058 -0.11880024  0.03190768  -3.7232 0.0001967 ***
13059 -0.18008961  0.03191841  -5.6422 1.679e-08 ***
13060 -0.26425907  0.03192218  -8.2782 2.220e-16 ***
13061 -0.14024695  0.03192426  -4.3931 1.117e-05 ***
13062 -0.15815602  0.03196417  -4.9479 7.501e-07 ***
14511 -0.03348904  0.03198264  -1.0471 0.2950532    
14521 -0.13229116  0.02705463  -4.8898 1.009e-06 ***
