        Estimate Std. Error  t-value  Pr(>|t|)    
8128   0.0463401  0.0242846   1.9082 0.0563640 .  
8135   0.0150812  0.0288879   0.5221 0.6016301    
8136   0.0249955  0.0242936   1.0289 0.3035303    
8215   0.0489177  0.0289271   1.6911 0.0908233 .  
8216   0.0333353  0.0289390   1.1519 0.2493552    
8225   0.0041521  0.0242837   0.1710 0.8642390    
8226   0.0515688  0.0243317   2.1194 0.0340560 *  
8235  -0.0261647  0.0289188  -0.9048 0.3655899    
8236   0.1142455  0.0242715   4.7070 2.514e-06 ***
8237   0.0293815  0.0243587   1.2062 0.2277398    
8315   0.0215053  0.0289361   0.7432 0.4573595    
8316   0.0701361  0.0316802   2.2139 0.0268372 *  
8317   0.0399235  0.0268166   1.4888 0.1365506    
8325  -0.0392771  0.0244161  -1.6087 0.1076925    
8326   0.0481273  0.0290352   1.6575 0.0974084 .  
8327   0.0172739  0.0252170   0.6850 0.4933369    
8335   0.0237096  0.0243402   0.9741 0.3300110    
8336   0.0939468  0.0289294   3.2475 0.0011644 ** 
8337   0.0096676  0.0243727   0.3967 0.6916199    
8415  -0.1021589  0.0251528  -4.0615 4.875e-05 ***
8416   0.0239339  0.0288737   0.8289 0.4071520    
8417  -0.0370374  0.0243651  -1.5201 0.1284859    
8425   0.0411081  0.0243193   1.6904 0.0909606 .  
8426   0.0549908  0.0243446   2.2588 0.0238928 *  
8435   0.0902909  0.0289377   3.1202 0.0018074 ** 
8436  -0.0081324  0.0243649  -0.3338 0.7385497    
8437   0.0134762  0.0244270   0.5517 0.5811596    
9161   0.1027991  0.0242921   4.2318 2.318e-05 ***
9162   0.1061278  0.0243910   4.3511 1.355e-05 ***
9163   0.0945265  0.0247008   3.8269 0.0001298 ***
9171   0.1301019  0.0243680   5.3390 9.344e-08 ***
9172   0.1380854  0.0245140   5.6329 1.772e-08 ***
9173  -0.0787311  0.0246933  -3.1884 0.0014308 ** 
9174   0.0607747  0.0243704   2.4938 0.0126386 *  
9175   0.1125513  0.0244170   4.6095 4.036e-06 ***
9176   0.1462204  0.0243006   6.0172 1.775e-09 ***
9177   0.1620650  0.0243427   6.6576 2.783e-11 ***
9178   0.0620804  0.0243282   2.5518 0.0107171 *  
9179   0.1217523  0.0244030   4.9892 6.062e-07 ***
9181   0.0821852  0.0244556   3.3606 0.0007778 ***
9182   0.0641202  0.0247382   2.5920 0.0095432 ** 
9183   0.1637882  0.0243397   6.7293 1.705e-11 ***
9184   0.0420406  0.0244259   1.7211 0.0852239 .  
9185   0.1382144  0.0243134   5.6847 1.310e-08 ***
9186   0.1210270  0.0242916   4.9823 6.285e-07 ***
9187   0.1535085  0.0245127   6.2624 3.791e-10 ***
9188   0.0354287  0.0244889   1.4467 0.1479734    
9189   0.0995665  0.0243987   4.0808 4.488e-05 ***
9190   0.1440434  0.0246043   5.8544 4.787e-09 ***
9261   0.1661471  0.0243237   6.8307 8.453e-12 ***
9262   0.1295135  0.0243320   5.3228 1.022e-07 ***
9263   0.1957941  0.0242803   8.0639 6.661e-16 ***
9271   0.1617294  0.0243234   6.6491 2.949e-11 ***
9272   0.0420196  0.0243645   1.7246 0.0845952 .  
9273   0.1368859  0.0242840   5.6369 1.732e-08 ***
9274   0.1685250  0.0243126   6.9316 4.162e-12 ***
9275   0.1285678  0.0243273   5.2849 1.258e-07 ***
9276   0.0175162  0.0243800   0.7185 0.4724687    
9277   0.1725681  0.0243409   7.0896 1.345e-12 ***
9278   0.1263750  0.0242805   5.2048 1.942e-07 ***
9279   0.1543755  0.0243087   6.3506 2.145e-10 ***
9361   0.1171569  0.0243162   4.8181 1.450e-06 ***
9362   0.1523496  0.0243297   6.2619 3.804e-10 ***
