        Estimate Std. Error  t-value  Pr(>|t|)    
9189   0.1009586  0.0281545   3.5859 0.0003360 ***
9190   0.1665448  0.0283766   5.8691 4.382e-09 ***
9261   0.1248403  0.0279770   4.4622 8.110e-06 ***
9262   0.0953984  0.0280123   3.4056 0.0006602 ***
9263   0.1387146  0.0279579   4.9616 6.993e-07 ***
9271   0.1133924  0.0279880   4.0515 5.090e-05 ***
9272   0.0408112  0.0279814   1.4585 0.1446990    
9273   0.1064944  0.0279528   3.8098 0.0001391 ***
9274   0.1358594  0.0279282   4.8646 1.147e-06 ***
9275   0.0892855  0.0280026   3.1885 0.0014303 ** 
9276   0.0305966  0.0279461   1.0948 0.2735850    
9277   0.1369495  0.0279644   4.8973 9.718e-07 ***
9278   0.0833123  0.0279277   2.9831 0.0028531 ** 
9279   0.1119283  0.0279564   4.0037 6.237e-05 ***
9361   0.0753872  0.0278969   2.7023 0.0068852 ** 
9362   0.0896514  0.0279490   3.2077 0.0013381 ** 
9363   0.0937624  0.0279073   3.3598 0.0007800 ***
9371   0.0929855  0.0279497   3.3269 0.0008782 ***
9372   0.1035915  0.0279143   3.7111 0.0002064 ***
9373   0.0647268  0.0279171   2.3185 0.0204200 *  
9374   0.0617952  0.0279322   2.2123 0.0269437 *  
9375   0.0640836  0.0279076   2.2963 0.0216600 *  
9376   0.0514446  0.0279210   1.8425 0.0654014 .  
9377   0.1226217  0.0279624   4.3852 1.159e-05 ***
9461   0.0383530  0.0307431   1.2475 0.2122023    
9462   0.0756168  0.0279318   2.7072 0.0067854 ** 
9463   0.0832075  0.0279085   2.9814 0.0028690 ** 
9464   0.0474044  0.0279719   1.6947 0.0901300 .  
9471   0.0414785  0.0279121   1.4860 0.1372690    
9472   0.0646527  0.0279681   2.3117 0.0207965 *  
9473   0.0533000  0.0279183   1.9091 0.0562434 .  
9474   0.0777947  0.0279496   2.7834 0.0053794 ** 
9475   0.0501871  0.0279925   1.7929 0.0729924 .  
9476  -0.0243367  0.0279822  -0.8697 0.3844539    
9477   0.1481097  0.0279304   5.3028 1.140e-07 ***
9478   0.0672586  0.0279434   2.4070 0.0160859 *  
9479   0.0444483  0.0280503   1.5846 0.1130597    
9561   0.1172754  0.0279007   4.2033 2.630e-05 ***
9562   0.0097997  0.0279067   0.3512 0.7254676    
9563   0.0086013  0.0279399   0.3078 0.7581978    
9564   0.0409525  0.0279230   1.4666 0.1424796    
9565   0.0650509  0.0279010   2.3315 0.0197274 *  
9571   0.0796894  0.0278837   2.8579 0.0042643 ** 
9572   0.0059437  0.0278971   0.2131 0.8312807    
9573   0.0042214  0.0279034   0.1513 0.8797510    
9574   0.0510865  0.0279455   1.8281 0.0675385 .  
9575   0.0579075  0.0279037   2.0753 0.0379623 *  
9576   0.0624070  0.0279085   2.2361 0.0253433 *  
9577   0.1076539  0.0279299   3.8544 0.0001160 ***
9661   0.0683283  0.0280618   2.4349 0.0148950 *  
9662   0.0183094  0.0279983   0.6539 0.5131446    
9663   0.1466951  0.0279974   5.2396 1.609e-07 ***
9671   0.0736907  0.0279502   2.6365 0.0083766 ** 
9672  -0.0024427  0.0279304  -0.0875 0.9303071    
9673   0.0475900  0.0278977   1.7059 0.0880315 .  
9674   0.0437203  0.0279103   1.5665 0.1172418    
9675   0.0261408  0.0279419   0.9355 0.3495095    
9676   0.0529383  0.0279353   1.8950 0.0580883 .  
9677   0.0709573  0.0279347   2.5401 0.0110816 *  
9678   0.0629476  0.0279249   2.2542 0.0241853 *  
