         Estimate  Std. Error  t-value  Pr(>|t|)    
9373   0.09348756  0.02759007   3.3884 0.0007029 ***
9374   0.06833954  0.02756153   2.4795 0.0131557 *  
9375   0.09490287  0.02749509   3.4516 0.0005572 ***
9376   0.07614895  0.02752165   2.7669 0.0056597 ** 
9377   0.11989607  0.02772538   4.3244 1.529e-05 ***
9461   0.06088566  0.03031171   2.0087 0.0445741 *  
9462   0.09122578  0.02753570   3.3130 0.0009230 ***
9463   0.09215749  0.02747102   3.3547 0.0007945 ***
9464   0.04730416  0.02768238   1.7088 0.0874846 .  
9471   0.05793975  0.02750007   2.1069 0.0351267 *  
9472   0.07708072  0.02758984   2.7938 0.0052091 ** 
9473   0.06615430  0.02748161   2.4072 0.0160745 *  
9474   0.09636988  0.02756850   3.4957 0.0004729 ***
9475   0.04692772  0.02775429   1.6908 0.0908697 .  
9476  -0.01123910  0.02763218  -0.4067 0.6841991    
9477   0.16108061  0.02757009   5.8426 5.140e-09 ***
9478   0.08255641  0.02752746   2.9991 0.0027082 ** 
9479   0.02854820  0.02779595   1.0271 0.3043907    
9561   0.14484763  0.02755996   5.2557 1.474e-07 ***
9562   0.01780336  0.02755699   0.6461 0.5182430    
9563   0.02549837  0.02756721   0.9250 0.3549904    
9564   0.05501284  0.02753260   1.9981 0.0457060 *  
9565   0.07299497  0.02754751   2.6498 0.0080543 ** 
9571   0.10360244  0.02753505   3.7626 0.0001682 ***
9572   0.01556867  0.02752683   0.5656 0.5716783    
9573   0.01852726  0.02756375   0.6722 0.5014816    
9574   0.07505275  0.02759190   2.7201 0.0065262 ** 
9575   0.07234950  0.02751754   2.6292 0.0085582 ** 
9576   0.09076910  0.02757328   3.2919 0.0009951 ***
9577   0.13528926  0.02758959   4.9036 9.408e-07 ***
9661   0.09483312  0.02753160   3.4445 0.0005721 ***
9662   0.03374791  0.02751871   1.2264 0.2200624    
9663   0.17265106  0.02755177   6.2664 3.694e-10 ***
9671   0.10175211  0.02753263   3.6957 0.0002193 ***
9672   0.01779231  0.02752465   0.6464 0.5180115    
9673   0.05287522  0.02755412   1.9190 0.0549895 .  
9674   0.05634429  0.02749535   2.0492 0.0404397 *  
9675   0.04911218  0.02751684   1.7848 0.0742930 .  
9676   0.07168051  0.02748614   2.6079 0.0091105 ** 
9677   0.08601271  0.02751490   3.1260 0.0017718 ** 
